sku,brand,name,category,form_factor,key_specs,supplier_price_kes,retail_price_kes,price_basis,notes
DS-2CD2047G2-LU,Hikvision,4MP AcuSense ColorVu Fixed Bullet Network Camera,IP Camera,Bullet,4MP; 4mm; WDR; built-in mic; human & vehicle detection; 24/7 colour; IP67,18500,25900,distributor+40%,Pro AcuSense line
DS-2CD2T86G2H-4I,Hikvision,8MP 4K AcuSense DarkFighter EXIR Fixed Bullet Network Camera,IP Camera,Bullet,8MP 4K; 80m EXIR; face capture; WDR; human & vehicle detection; H.265+; IP67; SD slot,26000,36400,distributor+40%,Long-range perimeter camera
DS-2CD2187G3-LIS2UY,Hikvision,8MP ColorVu 3.0 AcuSense Dome Network Camera with Audio 2.0,IP Camera,Dome,8MP; 30m; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67; IK08,26200,36700,distributor+40%,Supplier priced with DS-2CD2087G3-LI2UY under one figure
DS-2CD2087G3-LI2UY,Hikvision,8MP ColorVu 3.0 AcuSense Bullet Network Camera with Audio 2.0,IP Camera,Bullet,8MP; 30m; ColorVu 3.0; Motion Detection 3.0; Smart Hybrid Light; IP67,26200,36700,distributor+40%,Bullet twin of DS-2CD2187G3-LIS2UY
VARIFOCAL-4MP,Hikvision,4MP Smart Hybrid Light Motorized Varifocal Dome/Bullet Network Camera,IP Camera,Varifocal,4MP; 2.8-12mm motorized varifocal; human & vehicle detection; Smart Hybrid Light; built-in mic; IP67; SD to 512GB,13500,18900,distributor+40%,CONFIRM MODEL NUMBER with supplier - box code illegible in screenshot
VARIFOCAL-6MP,Hikvision,6MP Smart Hybrid Light Motorized Varifocal Dome/Bullet Network Camera,IP Camera,Varifocal,6MP; 2.8-12mm motorized varifocal; human & vehicle detection; Smart Hybrid Light; built-in mic; IP67; SD to 512GB,16000,22400,distributor+40%,CONFIRM MODEL NUMBER with supplier - box code illegible in screenshot
DS-2CE16D0T-EXIPF,Hikvision,2MP EXIR Fixed Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 3.6mm; 20m EXIR; 4-in-1 switchable TVI/AHD/CVI/CVBS,1150,1600,distributor+40%,Cheapest analog camera - budget packages
DS-2CE76D0T-EXIPF,Hikvision,2MP EXIR Indoor Turret Turbo HD Camera,Analog Camera,Turret,2MP; 2.8mm; 20m EXIR; 4-in-1 switchable TVI/AHD/CVI/CVBS,1150,1600,distributor+40%,Indoor twin of DS-2CE16D0T-EXIPF
DS-2CE16D0T-LPFS,Hikvision,2MP Smart Hybrid Light Bullet Turbo HD Camera with Mic,Analog Camera,Bullet,2MP; 3.6mm; 20m; Smart Hybrid Light; built-in mic,2100,2900,distributor+40%,
DS-2CE76D0T-LPFS,Hikvision,2MP Smart Hybrid Light Turret Turbo HD Camera with Mic,Analog Camera,Turret,2MP; 2.8mm; 20m; Smart Hybrid Light; built-in mic,2100,2900,distributor+40%,
DS-2CE10DF0T-LPFS,Hikvision,2MP ColorVu Fixed Mini Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 3.6mm; 24/7 colour; Smart Hybrid Light; 20m white light + 20m IR; built-in mic,3200,4500,distributor+40%,
DS-2CE70DF0T-LPFS,Hikvision,2MP ColorVu Fixed Turret Turbo HD Camera,Analog Camera,Turret,2MP; 2.8mm; 24/7 colour; Smart Hybrid Light; 20m white light + 20m IR; built-in mic,3200,4500,distributor+40%,
DS-2CE16D0T-LPTS,Hikvision,2MP Two-Way Audio Smart Hybrid Light Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 3.6mm; 25m IR; 20m white light; Smart Hybrid Light; mic + speaker; two-way audio; IP67,3300,4600,distributor+40%,
DS-2CE16D0T-LPXTS,Hikvision,2MP Two-Way Audio Siren Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 3.6mm; 25m IR; 20m white light; Smart Hybrid Light; siren + strobe; two-way audio; IP67,3750,5300,distributor+40%,Active deterrence analog
DS-2CE70D0T-PTLTS,Hikvision,2MP Two-Way Audio Pan/Tilt Dome Turbo HD Camera,Analog Camera,PT Dome,2MP; 2.8mm; 350 deg pan / 75 deg tilt; 25m IR; 20m white light; mic + speaker; two-way audio,3950,5500,distributor+40%,Popular indoor nanny/shop camera on analog
DS-2CE78D0T-LXTS,Hikvision,2MP Two-Way Audio Smart Hybrid Light Turret Turbo HD Camera,Analog Camera,Turret,2MP; 2.8mm; 40m IR; 40m white light; strobe + audio alarm; mic + speaker; IP67,4150,5800,distributor+40%,
DS-2CE12DF0T-LFS,Hikvision,2MP ColorVu Long-Range Fixed Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 3.6mm; 40m white light + 40m IR; 24/7 colour; 3D DNR; built-in mic; 4-in-1 switchable; IP67,4250,6000,distributor+40%,
DS-2CE19DF0T-LXTS,Hikvision,2MP ColorVu Long-Range Two-Way Audio Bullet Turbo HD Camera 80m,Analog Camera,Bullet,2MP; 80m IR + 80m white light; 24/7 colour; two-way audio; mic + speaker,5500,7700,distributor+40%,Longest-range analog - perimeter and yard
DS-2CE13DF0T-LXTS,Hikvision,2MP ColorVu SoundMax Siren & Strobe Bullet Turbo HD Camera,Analog Camera,Bullet,2MP; 40m; SoundMax louder alarm; 24/7 colour; Smart Hybrid Light; 3D DNR; two-way audio; strobe + audio alarm; IP67,7000,9800,distributor+40%,
DS-2DE2C400MWG-E,Hikvision,4MP ColorVu Smart Hybrid Light Mini PT Network Camera with Auto-Tracking Lite,PTZ Camera,Mini PT,4MP; auto-tracking lite; human & vehicle detection; Smart Hybrid Light; built-in mic; onboard storage; IP66,8500,11900,distributor+40%,Best value PTZ - yards and forecourts
DS-2CFSP4/4G,Hikvision,SP4 CableFree 4MP Solar 4G Pan-Tilt Camera,Solar 4G Camera,Solar PT,4MP 2K+; 8W solar panel; 9000mAh battery; 30m; Motion Detection 2.0; two-way audio; AOV; IP66,13000,18200,distributor+40%,No cabling - farms sites boreholes
DS-2CFSP8-D/4G,Hikvision,SP8-D CableFree Dual-Lens 4+4MP Solar 4G PT Camera with Smart Tracking,Solar 4G Camera,Solar PT Dual,4+4MP dual lens; 8W solar; 9000mAh; 30m; smart tracking; two-way audio; IP66; Smart Hybrid Light,18500,25900,distributor+40%,Flagship solar - construction sites
CS-HB8c/SP,EZVIZ,HB8 Lite 4G + Wi-Fi 6 Solar Battery Camera Kit 2K+,Solar 4G Camera,Solar PT,4MP 2K+; 4G + WiFi6 dual connectivity; 5W solar; 5200mAh; colour night vision; human shape detection; two-way audio; auto-zoom tracking; 2yr warranty,13000,16500,MARKET CEILING,Jumia sells at 17499 - 40% markup would exceed market. Capped at 16500.
CB1,EZVIZ,CB1 1080p Smart Home Battery Camera,Smart Home Camera,Battery,1080p; 1600mAh battery; two-way talk; motion detection; IR night vision; microSD to 512GB; magnetic base,4800,6700,distributor+40%,Nanny cam - wire-free
C1C-B,EZVIZ,C1C-B 1080p Indoor Wi-Fi Smart Home Camera,Smart Home Camera,Indoor Fixed,1080p; two-way talk; motion detection; 12m night vision; microSD to 256GB,2500,3500,distributor+40%,Entry nanny cam - Jumia comparable 4790 so we undercut
DVR-7100-4,Hikvision,4-Channel Turbo HD 1080p DVR (7100 Series Plastic),DVR,4CH,Up to 1080p; HDMI + VGA; H.265; Hik-Connect P2P; 1 SATA,4500,6300,distributor+40%,Budget analog recorder
DVR-7100-8,Hikvision,8-Channel Turbo HD 1080p DVR (7100 Series Plastic),DVR,8CH,Up to 1080p; HDMI + VGA; H.265; Hik-Connect P2P; 1 SATA,5350,7500,distributor+40%,
DVR-7100-16,Hikvision,16-Channel Turbo HD 1080p DVR (7100 Series Plastic),DVR,16CH,Up to 1080p; HDMI + VGA; H.265; Hik-Connect P2P,9100,12700,distributor+40%,
DVR-7200-4,Hikvision,4-Channel Turbo HD 1080p DVR (7200 Series Metal),DVR,4CH,Up to 1080p; metal chassis; HDMI + VGA; H.265; Hik-Connect P2P,5100,7100,distributor+40%,Recommended default - metal chassis runs cooler
DVR-7200-8,Hikvision,8-Channel Turbo HD 1080p DVR (7200 Series Metal),DVR,8CH,Up to 1080p; metal chassis; HDMI + VGA; H.265; Hik-Connect P2P,6400,9000,distributor+40%,
DVR-7200-16,Hikvision,16-Channel Turbo HD 1080p DVR (7200 Series Metal),DVR,16CH,Up to 1080p; metal chassis; HDMI + VGA; H.265; Hik-Connect P2P,10200,14300,distributor+40%,
DVR-7200-32,Hikvision,32-Channel Turbo HD 1080p DVR (7200 Series Metal Audio),DVR,32CH,Up to 1080p; metal chassis; audio enabled; HDMI + VGA; H.265,29600,41400,distributor+40%,
DVR-TWA-P-4,Hikvision,4-Channel Two-Way Audio Hybrid DVR (Plastic),DVR,4CH,Up to 1080p lite 15fps; audio over coax; two-way audio; human & vehicle detection; Motion Detection 2.0,5000,7000,distributor+40%,Required for two-way audio analog cameras
DVR-TWA-P-8,Hikvision,8-Channel Two-Way Audio Hybrid DVR (Plastic),DVR,8CH,Up to 1080p lite 15fps; audio over coax; two-way audio; human & vehicle detection,6300,8800,distributor+40%,
DVR-TWA-P-16,Hikvision,16-Channel Two-Way Audio Hybrid DVR (Plastic),DVR,16CH,Up to 1080p lite 15fps; audio over coax; two-way audio; human & vehicle detection,11300,15800,distributor+40%,
DVR-TWA-M-4,Hikvision,4-Channel Two-Way Audio Hybrid DVR (Metal),DVR,4CH,Up to 1080p lite 15fps; metal chassis; audio over coax; two-way audio; human & vehicle detection,5850,8200,distributor+40%,
DVR-TWA-M-8,Hikvision,8-Channel Two-Way Audio Hybrid DVR (Metal),DVR,8CH,Up to 1080p lite 15fps; metal chassis; audio over coax; two-way audio,6800,9500,distributor+40%,
DVR-TWA-M-16,Hikvision,16-Channel Two-Way Audio Hybrid DVR (Metal),DVR,16CH,Up to 1080p lite 15fps; metal chassis; audio over coax; two-way audio,11800,16500,distributor+40%,
DS-7608NXI-K2/VPro,Hikvision,8-Channel 4K AcuSeek AcuSense NVR (K/VPro Series),NVR,8CH,8-ch IP input; 80Mbps incoming; AcuSeek + AcuSearch; AcuSense perimeter protection; auto camera config; 2 SATA,25000,35000,distributor+40%,No PoE - needs separate PoE switch
DS-7632NXI-K2/16P/VPro,Hikvision,32-Channel 4K AcuSeek NVR with 16 PoE Ports,NVR,32CH,32-ch; 16 PoE; 256Mbps incoming; AcuSeek + AcuSearch; AcuSense; auto camera config,45000,63000,distributor+40%,Commercial recorder
DS-7732NXI-K4/16P,Hikvision,32-Channel 4K AcuSense Embedded NVR with 16 PoE and 4 SATA,NVR,32CH,32-ch; 16 PoE; 4 SATA; H.265+; third-party ONVIF cameras; Hik-Connect P2P,,,QUOTE REQUIRED,No price in supplier status - request quote before publishing
NK844WDH,Hikvision,EasyLink 4-Channel Wi-Fi NVR Kit (NVR + 4 Cameras),NVR Kit,4CH Kit,4CH WiFi kit; 4K HDMI output; smart motion detection; high-gain antenna; remote access; cable-free,28000,39200,distributor+40%,Complete wireless kit - rental and quick installs
DS-KIS603-P,Hikvision,IP Video Intercom Kit (7 inch Indoor Station + DS-KV6113-WPE1 Door Station),Video Intercom,Villa Kit,IP intercom kit; 7 inch indoor station; DS-KV6113-WPE1 outdoor station; Hik-Connect,26500,37100,market research,Price from Kenyan dealer research - CONFIRM with your distributor
DS-KIS608-P,Hikvision,IP Video Intercom Kit with Hik-Connect (7 inch Touch + PoE Door Station),Video Intercom,Villa Kit,7 inch touch screen; 2MP video; Hik-Connect app; standard PoE; one-press call and unlock; IP65,29000,40600,market research,Price from Kenyan dealer research - CONFIRM with your distributor
DS-KIS212,Hikvision,4-Wire HD TVI Video Intercom Kit (7 inch Monitor + Door Station),Video Intercom,Villa Kit,HD TVI video; plug and play; one-press call and unlock; max 2 door stations + 3 indoor stations,,,QUOTE REQUIRED,No price in supplier status
DS-KIS213,Hikvision,4-Wire HD Video Intercom Kit (7 inch Monitor + Door Station),Video Intercom,Villa Kit,HD 4-wire video intercom; plug and play; one-press call and unlock,,,QUOTE REQUIRED,No price in supplier status
DS-K3GL606WX-WE,Hikvision,Sliding Gate Opener Kit with Wi-Fi/LAN and Built-in Access Control,Gate Automation,Sliding Motor,Built-in WiFi + LAN; battery driven 12V 7Ah; 0.6 m/s max speed; mobile web config; self-diagnostics; built-in access control via PIN card and QR; low-power mode; links to intercom alarm and access systems,35000,49000,distributor+40%,Hikvision alternative to Centurion - integrates with our CCTV
DS-PF201-1WE,Hikvision,Single-Zone Wireless Electric Fence Energizer,Electric Fence,Energizer,Up to 10km line length; 1000V-9000V output; replaceable fuse; lightning and surge protection; 12hr battery standby; app control; IPX4,17000,23800,distributor+40%,Anchor of the Hikvision electric fence line
ES-626,Generic,Complete Alarm Siren Kit (Siren Horn + Strobe + Strobe Box),Alarm,Siren Kit,12V siren horn; strobe light; strobe housing,2500,3500,distributor+40%,
DS-1LN6U-ZCO,Hikvision,Cat6 Pure Copper UTP Network Cable 305m (Economy),Cable,Cat6 305m,Cat6 pure copper; 305m box; Fluke test assurance; extended PoE distance,14500,20300,distributor+40%,Price effective 7 Aug 2026
DS-1LN6U-SCO,Hikvision,Cat6 Pure Copper UTP Network Cable 305m (Standard),Cable,Cat6 305m,Cat6 pure copper; 305m box; Fluke test assurance; extended PoE distance,16800,23500,distributor+40%,Price effective 7 Aug 2026
DS-1LN6-UU,Hikvision,Cat6 Pure Copper UTP Network Cable 305m (Premium),Cable,Cat6 305m,Cat6 pure copper; 305m box; Fluke test assurance; extended PoE distance,18500,25900,distributor+40%,Price effective 7 Aug 2026
DS-1LN6AUSPE,Hikvision,Cat6A UTP Outdoor Network Cable,Cable,Cat6A Outdoor,Cat6A UTP outdoor; RoHS 2.0; high tensile; Fluke test assurance; flame retardant; solid bare copper,23000,32200,distributor+40%,Outdoor runs and coastal installs. CONFIRM reel length with supplier
DS-3E1526P-SI-24P2F,Hikvision,24-Port Gigabit Smart Managed PoE Switch with 2 Uplinks and 2 SFP,Network Switch,24 Port PoE,24 gigabit PoE ports; 2 gigabit uplinks; 2 SFP; 370W power budget; 802.1Q VLAN; loop prevention; 6kV surge; SNMP QoS DHCP snooping ARP anti-spoofing,45000,63000,distributor+40%,Commercial IP CCTV backbone
DS-3WF5000S-SI-5ACG/2P,Hikvision,Smart Managed Wireless Bridge Kit 5km 5GHz 867Mbps (2 Pack),Wireless Bridge,Bridge Kit,5km range; 867Mbps 802.11ac; built-in 16dBi 2x2 MIMO; visualised topology; standard PoE output; universal joint bracket,12000,16800,distributor+40%,Link outbuildings gates and remote blocks without trenching
DS-3WFB-EI-5ACG,Hikvision,Smart Managed Wireless Bridge Base Station 5GHz 867Mbps,Wireless Bridge,Base Station,5km range; 867Mbps 802.11ac; 802.3af PoE; visualised topology; real-time alarm push,9000,12600,distributor+40%,Point-to-multipoint base
DS-3WAP622G-SI,Hikvision,Wi-Fi 6 1800Mbps Smart Managed Ceiling Access Point,Access Point,Ceiling AP,802.11ax WiFi 6 1775Mbps; 1 gigabit PoE port; 100+ concurrent users; auto RF optimisation; intelligent fast roaming,11500,16100,distributor+40%,Supplier offer price was 12500 down to 11500
DS-3WR12C-E,Hikvision,AC1200 Dual-Band Wi-Fi 5 Router,Router,Router,AC1200; dual band; WiFi 5; app management; multi-mode 3-in-1; up to 1.2Gbps,2500,3500,distributor+40%,
T10,Tenda,N300 Wi-Fi Range Extender,Range Extender,Extender,Up to 300Mbps on 2.4GHz; easy setup; compatible with most routers,1550,2200,distributor+40%,
OAP1200,Tenda,Outdoor/Indoor 802.11ac Dual-Band Access Point,Access Point,Outdoor AP,Dual band; 2 antennas; up to 200m range; 300Mbps 2.4GHz + 867Mbps 5GHz,4500,6300,distributor+40%,
F3,Tenda,Wireless N300 Easy Setup Router,Router,Router,N300 wireless router; easy setup,1200,1700,distributor+40%,
F6,Tenda,Wireless N300 Home Router,Router,Router,N300 home router; 4-in-1; 5dBi antennas; QoS; WISP; IPv6,1500,2100,distributor+40%,
HDD-1TB,Generic,1 TB Surveillance Hard Disk Drive,Storage,3.5in HDD,Surveillance-grade 24/7 drive; SATA; optimised for continuous write and multi-camera streams,6500,9100,distributor+40%,Owner-confirmed distributor cost
HDD-2TB,Generic,2 TB Surveillance Hard Disk Drive,Storage,3.5in HDD,Surveillance-grade 24/7 drive; SATA; optimised for continuous write and multi-camera streams,12500,17500,distributor+40%,Owner-confirmed distributor cost
HDD-4TB,Generic,4 TB Surveillance Hard Disk Drive,Storage,3.5in HDD,Surveillance-grade 24/7 drive; SATA; optimised for continuous write and multi-camera streams,24000,33600,distributor+40%,Owner-confirmed distributor cost. CHECK MARKET CEILING - Kenyan 4TB listings run lower
HDD-8TB,Generic,8 TB Surveillance Hard Disk Drive,Storage,3.5in HDD,Surveillance-grade 24/7 drive; SATA; optimised for continuous write and multi-camera streams,45000,63000,distributor+40%,Owner-confirmed distributor cost. CHECK MARKET CEILING
FUEL-VEH-STD,Generic,Vehicle Fuel Monitoring System - Installed,Fuel Monitoring,Per Vehicle,Capacitive fuel level sensor; GPS telematics unit; tank calibration; web and app portal; professional installation,,45000,owner_sell_price,Owner-set price. Sits between the two firm Kenyan public anchors of 40000 and 55000. Brand-agnostic by owner preference
FUEL-TANK-STATIC,Generic,Static / Generator Tank Fuel Monitoring,Fuel Monitoring,Per Tank,Level sensor; GSM or IoT gateway; cloud dashboard; alerting on drop events; calibration,,,QUOTE REQUIRED,No Kenyan public pricing exists. Quote individually
BARRIER-3M,Generic,Automatic Boom Barrier 3 m,Entrance Control,Boom Barrier,3 m aluminium boom; 3-6 second opening; remote and loop detector ready; integrates with access control and ANPR,,,PLACEHOLDER,Mock row - owner to price from admin. Estates hotels office parks port corridor
BARRIER-45M,Generic,Automatic Boom Barrier 4.5 m,Entrance Control,Boom Barrier,4.5 m boom; heavy duty; remote loop detector and card reader integration,,,PLACEHOLDER,Mock row - owner to price from admin
BARRIER-6M,Generic,Automatic Boom Barrier 6 m,Entrance Control,Boom Barrier,6 m boom; industrial duty cycle; integrates with parking management,,,PLACEHOLDER,Mock row - owner to price from admin
PARK-DISPENSER,Generic,Parking Ticket Dispenser,Entrance Control,Parking,Thermal ticket printing; barcode or QR; barrier integration; intercom option; weatherproof pedestal,,,PLACEHOLDER,Mock row - owner to price from admin. Malls hospitals hotels
PARK-PAYSTATION,Generic,Parking Pay Station / Cashier Terminal,Entrance Control,Parking,Ticket validation; M-Pesa and card integration; receipt printing; barrier release,,,PLACEHOLDER,Mock row - owner to price from admin
PARK-ANPR,Generic,ANPR Number Plate Recognition Camera and Controller,Entrance Control,ANPR,Number plate capture and recognition; whitelist and blacklist; barrier trigger; estate and parking use,,,PLACEHOLDER,Mock row - owner to price from admin
XRAY-5030,Generic,Baggage X-Ray Scanner 500 x 300 mm Tunnel,Screening,X-Ray Scanner,Small parcel and handbag tunnel; dual energy imaging; operator console; conveyor,,,PLACEHOLDER,Mock row. Hotels malls government buildings. High ticket low competition on the coast
XRAY-6550,Generic,Baggage X-Ray Scanner 650 x 500 mm Tunnel,Screening,X-Ray Scanner,Standard baggage tunnel; dual energy; threat detection; operator console,,,PLACEHOLDER,Mock row - owner to price from admin
XRAY-100100,Generic,Cargo / Pallet X-Ray Scanner 1000 x 1000 mm Tunnel,Screening,X-Ray Scanner,Large cargo tunnel; high penetration; port and logistics grade,,,PLACEHOLDER,Mock row. Port corridor and logistics
WTMD-18Z,Generic,Walk-Through Metal Detector 18 Zone,Screening,Metal Detector,18 detection zones; adjustable sensitivity; alarm counter; LED indication; weather resistant option,,,PLACEHOLDER,Mock row. Schools events hotels banks
HHMD-STD,Generic,Handheld Metal Detector Wand,Screening,Metal Detector,Rechargeable; audible and vibration alert; high sensitivity,,,PLACEHOLDER,Mock row - owner to price from admin
TURNSTILE-TRIPOD,Generic,Tripod Turnstile with Dual Authentication,Entrance Control,Turnstile,Fingerprint and RFID; bidirectional; fail-safe drop arm; access control integration,,,PLACEHOLDER,Mock row - owner to price from admin
TURNSTILE-FULL,Generic,Full-Height Turnstile,Entrance Control,Turnstile,Bidirectional; 30 people per minute; heavy duty; includes installation and training,,,PLACEHOLDER,Mock row - owner to price from admin
BOLLARD-AUTO,Generic,Automatic Rising Bollard,Entrance Control,Bollard,Hydraulic rising bollard; anti-ram; remote and loop control,,,PLACEHOLDER,Mock row - owner to price from admin
AMC-RESI,Service,Annual Maintenance Contract - Residential up to 8 cameras,Recurring Service,Per Year,Two scheduled visits; camera cleaning and realignment; firmware updates; recorder health check; storage verification; priority response. Parts excluded,,,PLACEHOLDER,Tiered by camera count - owner to price from admin
AMC-COMMERCIAL,Service,Annual Maintenance Contract - Commercial 9 to 32 cameras,Recurring Service,Per Year,Quarterly PPM visits; full system diagnostics; firmware and retention audit; documented report each visit; priority response. Parts excluded,,,PLACEHOLDER,Owner to price from admin
CLOUD-REC,Service,Cloud / Offsite Recording,Recurring Service,Per Camera Per Month,Offsite encrypted recording; configurable retention; survives on-site recorder theft or damage; remote playback,,,PLACEHOLDER,Kenyan published range 500-1500 per camera per month
REMOTE-MON,Service,Remote Monitoring,Recurring Service,Per Month,Monitored alarm and camera events; escalation and response protocol; scales with camera count,,,PLACEHOLDER,Kenyan published range 3000-10000 per month
GPS-TRACK,Service,GPS Vehicle Tracking - Installed,Fleet,Per Vehicle,GPS telematics unit; web and app portal; geofencing; trip and idling reports; professional installation,,,PLACEHOLDER,Pairs with fuel monitoring. Owner to price from admin
TRAINING-CCTV,Service,CCTV Installation Training Course,Training,Per Delegate,Practical CCTV installation and commissioning course; analog and IP; cabling termination configuration and handover; certificate on completion,,,PLACEHOLDER,High verified search demand. Owner to price from admin
